# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 150K of event 'cycles:P'
# Event count (approx.): 72676176080
#
# Overhead  Command        Shared Object           Symbol                                 
# ........  .............  ......................  .......................................
#
    34.98%  my_executable  libstencil.so           [.] solve_jacobi._omp_fn.0
     9.53%  my_executable  libm.so.6               [.] pow
     4.44%  my_executable  libgomp.so.1.0.0        [.] gomp_team_barrier_wait_end
     3.68%  my_executable  libstencil.so           [.] mesh_copy_core._omp_fn.0
     2.30%  my_executable  libm.so.6               [.] 0x00000000000721b7
     2.09%  my_executable  libm.so.6               [.] 0x0000000000072141
     1.70%  my_executable  libm.so.6               [.] 0x0000000000072170
     1.69%  my_executable  libm.so.6               [.] 0x000000000007219c
     1.67%  my_executable  libm.so.6               [.] 0x000000000007210a
     1.66%  my_executable  libm.so.6               [.] 0x000000000007203a
     1.53%  my_executable  libstencil.so           [.] pow@plt
     1.39%  my_executable  libm.so.6               [.] 0x0000000000071fdf
     1.26%  my_executable  libm.so.6               [.] 0x00000000000721a5
     1.26%  my_executable  libm.so.6               [.] 0x0000000000072019
     1.22%  my_executable  libm.so.6               [.] 0x0000000000072155
     1.13%  my_executable  libm.so.6               [.] 0x000000000007217c
     1.12%  my_executable  libm.so.6               [.] 0x0000000000071fce
     1.08%  my_executable  libm.so.6               [.] 0x0000000000071fb8
     0.99%  my_executable  libm.so.6               [.] 0x0000000000072077
     0.98%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait_end
     0.96%  my_executable  libm.so.6               [.] 0x0000000000072066
     0.94%  my_executable  libm.so.6               [.] 0x000000000007202f
     0.92%  my_executable  libm.so.6               [.] 0x0000000000071ffe
     0.87%  my_executable  libm.so.6               [.] 0x0000000000072095
     0.77%  my_executable  libm.so.6               [.] 0x0000000000071ff6
     0.76%  my_executable  libm.so.6               [.] 0x0000000000071fd9
     0.73%  my_executable  libm.so.6               [.] 0x0000000000071fc2
     0.73%  my_executable  libm.so.6               [.] 0x000000000007204d
     0.71%  my_executable  libm.so.6               [.] 0x00000000000720ed
     0.68%  my_executable  libm.so.6               [.] 0x0000000000072011
     0.65%  my_executable  libm.so.6               [.] 0x0000000000072145
     0.65%  my_executable  libm.so.6               [.] 0x00000000000721c0
     0.62%  my_executable  libm.so.6               [.] 0x0000000000071fa9
     0.62%  my_executable  libm.so.6               [.] 0x00000000000720a2
     0.60%  my_executable  libm.so.6               [.] 0x0000000000072071
     0.58%  my_executable  libm.so.6               [.] 0x00000000000720bc
     0.57%  my_executable  libm.so.6               [.] 0x00000000000720c1
     0.57%  my_executable  libm.so.6               [.] 0x0000000000072027
     0.56%  my_executable  libm.so.6               [.] 0x0000000000072049
     0.54%  my_executable  libm.so.6               [.] 0x0000000000072091
     0.52%  my_executable  libm.so.6               [.] 0x00000000000720dd
     0.50%  my_executable  libm.so.6               [.] 0x00000000000720b8
     0.49%  my_executable  libm.so.6               [.] 0x0000000000071fa4
     0.49%  my_executable  libm.so.6               [.] 0x00000000000720a6
     0.49%  my_executable  libm.so.6               [.] 0x00000000000720d8
     0.48%  my_executable  libm.so.6               [.] 0x00000000000720e1
     0.45%  my_executable  libm.so.6               [.] 0x0000000000071fb4
     0.43%  my_executable  libm.so.6               [.] 0x0000000000072060
     0.38%  my_executable  libm.so.6               [.] 0x00000000000720cf
     0.37%  my_executable  libm.so.6               [.] 0x00000000000720d4
     0.30%  my_executable  libm.so.6               [.] 0x00000000000720ca
     0.27%  my_executable  libm.so.6               [.] 0x00000000000720e5
     0.22%  my_executable  libm.so.6               [.] 0x0000000000072099
     0.22%  my_executable  libm.so.6               [.] 0x000000000007213c
     0.20%  my_executable  libm.so.6               [.] 0x00000000000720fe
     0.20%  my_executable  libm.so.6               [.] 0x0000000000072193
     0.20%  my_executable  libm.so.6               [.] 0x0000000000072134
     0.20%  my_executable  libm.so.6               [.] 0x00000000000720c5
     0.18%  my_executable  libm.so.6               [.] 0x0000000000072104
     0.17%  my_executable  libm.so.6               [.] 0x00000000000720f2
     0.17%  my_executable  libm.so.6               [.] 0x0000000000072118
     0.16%  my_executable  libm.so.6               [.] 0x0000000000072120
     0.16%  my_executable  libm.so.6               [.] 0x000000000007214e
     0.14%  my_executable  libm.so.6               [.] 0x0000000000072161
     0.14%  my_executable  [kernel.vmlinux]        [k] native_queued_spin_lock_slowpath
     0.14%  my_executable  libm.so.6               [.] 0x000000000007218f
