# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 91M of event 'cycles:P'
# Event count (approx.): 65660139571697
#
# Overhead  Command        Shared Object               Symbol                                        
# ........  .............  ..........................  ..............................................
#
    52.59%  my_executable  libstencil.so               [.] solve_jacobi._omp_fn.0
     6.55%  my_executable  libstencil.so               [.] mesh_copy_core._omp_fn.0
     5.99%  my_executable  libm.so.6                   [.] pow
     1.55%  my_executable  libm.so.6                   [.] 0x00000000000721b7
     1.48%  my_executable  libm.so.6                   [.] 0x0000000000072141
     1.26%  my_executable  libm.so.6                   [.] 0x000000000007210a
     1.25%  my_executable  libm.so.6                   [.] 0x0000000000072170
     1.22%  my_executable  libm.so.6                   [.] 0x000000000007203a
     1.10%  my_executable  libm.so.6                   [.] 0x000000000007219c
     1.00%  my_executable  libm.so.6                   [.] 0x0000000000071fdf
     0.92%  my_executable  libm.so.6                   [.] 0x0000000000072019
     0.88%  my_executable  libm.so.6                   [.] 0x0000000000072155
     0.86%  my_executable  libm.so.6                   [.] 0x00000000000721a5
     0.85%  my_executable  libstencil.so               [.] pow@plt
     0.81%  my_executable  libm.so.6                   [.] 0x0000000000071fb8
     0.77%  my_executable  libm.so.6                   [.] 0x0000000000072077
     0.75%  my_executable  libm.so.6                   [.] 0x0000000000072145
     0.74%  my_executable  libm.so.6                   [.] 0x000000000007217c
     0.74%  my_executable  libm.so.6                   [.] 0x0000000000071fce
     0.68%  my_executable  libm.so.6                   [.] 0x0000000000071ffe
     0.65%  my_executable  libm.so.6                   [.] 0x0000000000072095
     0.65%  my_executable  libm.so.6                   [.] 0x000000000007202f
     0.64%  my_executable  libm.so.6                   [.] 0x0000000000072066
     0.64%  my_executable  libm.so.6                   [.] 0x0000000000071ff6
     0.59%  my_executable  libm.so.6                   [.] 0x0000000000072011
     0.56%  my_executable  libm.so.6                   [.] 0x0000000000071fc2
     0.55%  my_executable  libm.so.6                   [.] 0x0000000000071fd9
     0.52%  my_executable  libm.so.6                   [.] 0x000000000007204d
     0.51%  my_executable  libm.so.6                   [.] 0x0000000000072027
     0.51%  my_executable  libm.so.6                   [.] 0x00000000000720a2
     0.51%  my_executable  libm.so.6                   [.] 0x00000000000720bc
     0.49%  my_executable  libm.so.6                   [.] 0x0000000000072049
     0.49%  my_executable  libm.so.6                   [.] 0x00000000000720ed
     0.47%  my_executable  libm.so.6                   [.] 0x0000000000072071
     0.45%  my_executable  libm.so.6                   [.] 0x00000000000720d8
     0.44%  my_executable  libm.so.6                   [.] 0x0000000000071fa9
     0.44%  my_executable  libm.so.6                   [.] 0x0000000000072091
     0.42%  my_executable  libm.so.6                   [.] 0x00000000000720c1
     0.42%  my_executable  libm.so.6                   [.] 0x00000000000721c0
     0.38%  my_executable  libm.so.6                   [.] 0x00000000000720a6
     0.37%  my_executable  libm.so.6                   [.] 0x00000000000720b8
     0.36%  my_executable  libm.so.6                   [.] 0x0000000000072060
     0.36%  my_executable  libm.so.6                   [.] 0x0000000000071fa4
     0.35%  my_executable  libm.so.6                   [.] 0x0000000000071fb4
     0.34%  my_executable  libm.so.6                   [.] 0x00000000000720e1
     0.34%  my_executable  libm.so.6                   [.] 0x00000000000720dd
     0.25%  my_executable  libm.so.6                   [.] 0x00000000000720d4
     0.24%  my_executable  libm.so.6                   [.] 0x00000000000720cf
     0.21%  my_executable  libm.so.6                   [.] 0x00000000000720c5
     0.20%  my_executable  libm.so.6                   [.] 0x00000000000720e5
     0.20%  my_executable  [kernel.vmlinux]            [k] down_read_trylock
     0.19%  my_executable  libm.so.6                   [.] 0x00000000000720ca
     0.19%  my_executable  libm.so.6                   [.] 0x000000000007205a
     0.18%  my_executable  libstencil.so               [.] setup_mesh_cell_values._omp_fn.0
     0.17%  my_executable  libm.so.6                   [.] 0x0000000000072193
     0.17%  my_executable  libm.so.6                   [.] 0x0000000000072099
     0.12%  my_executable  libm.so.6                   [.] 0x00000000000720af
     0.09%  my_executable  [kernel.vmlinux]            [k] native_irq_return_iret
     0.09%  my_executable  [kernel.vmlinux]            [k] up_read
     0.09%  my_executable  libm.so.6                   [.] 0x000000000007213c
     0.09%  my_executable  libm.so.6                   [.] 0x0000000000072168
     0.09%  my_executable  libm.so.6                   [.] 0x0000000000072104
     0.08%  my_executable  [kernel.vmlinux]            [k] smp_call_function_many_cond
     0.08%  my_executable  libstencil.so               [.] setup_mesh_cell_kinds._omp_fn.0
     0.08%  my_executable  libstencil.so               [.] mesh_set_cell_kind
     0.08%  my_executable  [kernel.vmlinux]            [k] clear_page_erms
     0.08%  my_executable  libstencil.so               [.] compute_core_pressure
     0.08%  my_executable  [kernel.vmlinux]            [k] __irqentry_text_end
     0.07%  my_executable  libm.so.6                   [.] 0x0000000000072185
     0.07%  my_executable  [kernel.vmlinux]            [k] __handle_mm_fault
     0.07%  my_executable  libm.so.6                   [.] 0x00000000000720f2
     0.07%  my_executable  [kernel.vmlinux]            [k] error_entry
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000072124
     0.06%  my_executable  libm.so.6                   [.] 0x0000000000072120
     0.06%  my_executable  libm.so.6                   [.] 0x00000000000720fe
     0.06%  my_executable  [kernel.vmlinux]            [k] perf_adjust_freq_unthr_context
     0.06%  my_executable  libm.so.6                   [.] 0x000000000007218f
     0.05%  my_executable  [kernel.vmlinux]            [k] copy_page
     0.05%  my_executable  libm.so.6                   [.] 0x0000000000072088
     0.05%  my_executable  [kernel.vmlinux]            [k] flush_tlb_func
     0.04%  my_executable  libm.so.6                   [.] 0x00000000000721bc
     0.04%  my_executable  [kernel.vmlinux]            [k] native_queued_spin_lock_slowpath
     0.04%  my_executable  [kernel.vmlinux]            [k] native_flush_tlb_local
     0.04%  my_executable  libm.so.6                   [.] 0x0000000000072118
     0.04%  my_executable  [kernel.vmlinux]            [k] llist_add_batch
     0.03%  my_executable  [kernel.vmlinux]            [k] sync_regs
     0.03%  my_executable  [kernel.vmlinux]            [k] __flush_smp_call_function_queue
     0.03%  my_executable  [kernel.vmlinux]            [k] _raw_spin_lock
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000072151
     0.02%  my_executable  [kernel.vmlinux]            [k] mas_walk
     0.02%  my_executable  [kernel.vmlinux]            [k] llist_reverse_order
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000072134
