# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles:P'
# Event count (approx.): 18233692210
#
# Overhead  Command        Shared Object              Symbol                               
# ........  .............  .........................  .....................................
#
    69.91%  my_executable  libstencil.so              [.] solve_jacobi._omp_fn.0
     7.44%  my_executable  libgomp.so.1.0.0           [.] gomp_team_barrier_wait_end
     7.43%  my_executable  libgomp.so.1.0.0           [.] gomp_barrier_wait_end
     7.41%  my_executable  libstencil.so              [.] mesh_copy_core._omp_fn.0
     1.03%  my_executable  libstencil.so              [.] setup_mesh_cell_values._omp_fn.0
     0.60%  my_executable  libstencil.so              [.] mesh_set_cell_kind
     0.53%  my_executable  libstencil.so              [.] setup_mesh_cell_kinds._omp_fn.0
     0.42%  my_executable  libstencil.so              [.] compute_core_pressure
     0.19%  my_executable  [kernel.vmlinux]           [k] clear_page_erms
     0.10%  my_executable  [kernel.vmlinux]           [k] native_irq_return_iret
     0.10%  my_executable  libm.so.6                  [.] 0x0000000000073b8f
     0.09%  my_executable  [kernel.vmlinux]           [k] memset_orig
     0.08%  my_executable  [kernel.vmlinux]           [k] error_entry
     0.08%  my_executable  [kernel.vmlinux]           [k] perf_adjust_freq_unthr_context
     0.07%  my_executable  libc.so.6                  [.] 0x0000000000097fcf
     0.06%  my_executable  libm.so.6                  [.] 0x0000000000073a50
     0.06%  my_executable  [kernel.vmlinux]           [k] __irqentry_text_end
     0.06%  my_executable  libm.so.6                  [.] 0x0000000000073a5d
     0.06%  my_executable  libm.so.6                  [.] 0x0000000000073d65
     0.06%  my_executable  [igb]                      [k] 0x0000000000001d9b
     0.06%  my_executable  [kernel.vmlinux]           [k] __rmqueue_pcplist
     0.05%  my_executable  [kernel.vmlinux]           [k] __handle_mm_fault
     0.05%  my_executable  libm.so.6                  [.] 0x0000000000073dec
     0.05%  my_executable  libm.so.6                  [.] 0x0000000000073bee
     0.05%  my_executable  libstencil.so              [.] mesh_set_cell_kind@plt
     0.05%  my_executable  libm.so.6                  [.] 0x000000000007390a
     0.05%  my_executable  libm.so.6                  [.] 0x0000000000073cc5
     0.05%  my_executable  libc.so.6                  [.] 0x000000000009af42
     0.05%  my_executable  libm.so.6                  [.] 0x0000000000073939
     0.04%  my_executable  libm.so.6                  [.] 0x0000000000073122
     0.04%  my_executable  libm.so.6                  [.] 0x000000000007312f
     0.04%  my_executable  libm.so.6                  [.] 0x0000000000073df7
     0.04%  my_executable  [kernel.vmlinux]           [k] __rcu_read_lock
     0.04%  my_executable  libm.so.6                  [.] 0x0000000000073a09
     0.04%  my_executable  libstencil.so              [.] cos@plt
     0.04%  my_executable  libm.so.6                  [.] 0x0000000000073bac
     0.04%  my_executable  [kernel.vmlinux]           [k] pci_conf1_read
     0.04%  my_executable  libm.so.6                  [.] 0x0000000000073bbd
     0.03%  my_executable  [kernel.vmlinux]           [k] __d_lookup
     0.03%  my_executable  libm.so.6                  [.] 0x0000000000073db4
     0.03%  my_executable  libm.so.6                  [.] 0x0000000000073dd3
     0.03%  my_executable  [kernel.vmlinux]           [k] sync_regs
     0.03%  my_executable  [kernel.vmlinux]           [k] get_page_from_freelist
     0.03%  my_executable  libm.so.6                  [.] 0x0000000000073277
     0.03%  my_executable  libz.so.1.3.1              [.] gzgets
     0.03%  my_executable  [kernel.vmlinux]           [k] vm_normal_folio
     0.03%  my_executable  libm.so.6                  [.] 0x000000000007391b
     0.03%  my_executable  libm.so.6                  [.] 0x00000000000732bb
     0.03%  my_executable  [kernel.vmlinux]           [k] update_load_avg
     0.03%  my_executable  [kernel.vmlinux]           [k] try_charge_memcg
     0.03%  my_executable  [kernel.vmlinux]           [k] native_write_msr
     0.03%  my_executable  [kernel.vmlinux]           [k] mas_walk
     0.03%  my_executable  [kernel.vmlinux]           [k] exc_page_fault
     0.03%  my_executable  libm.so.6                  [.] 0x0000000000073bb1
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073296
     0.02%  my_executable  [kernel.vmlinux]           [k] change_protection
     0.02%  my_executable  [kernel.vmlinux]           [k] native_queued_spin_lock_slowpath
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000730cf
     0.02%  my_executable  [kernel.vmlinux]           [k] psi_account_irqtime
     0.02%  my_executable  [kernel.vmlinux]           [k] mem_cgroup_commit_charge
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073ca2
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000735fc
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073bcd
     0.02%  my_executable  [kernel.vmlinux]           [k] __mod_memcg_lruvec_state
     0.02%  my_executable  [kernel.vmlinux]           [k] entry_SYSCALL_64
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073bd2
     0.02%  my_executable  libm.so.6                  [.] 0x000000000007339e
     0.02%  my_executable  libm.so.6                  [.] 0x000000000007357d
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073dfd
     0.02%  my_executable  [kernel.vmlinux]           [k] __free_one_page
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073d74
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000730a6
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073218
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073da3
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073c54
     0.02%  my_executable  [kernel.vmlinux]           [k] do_user_addr_fault
     0.02%  my_executable  libm.so.6                  [.] 0x000000000007325e
     0.02%  my_executable  [kernel.vmlinux]           [k] __rcu_read_unlock
     0.02%  my_executable  libstencil.so              [.] sin@plt
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073c23
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073903
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073c83
     0.02%  my_executable  [kernel.vmlinux]           [k] __mem_cgroup_charge
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000735e3
     0.02%  my_executable  [kernel.vmlinux]           [k] rep_movs_alternative
     0.02%  my_executable  libc.so.6                  [.] malloc
     0.02%  my_executable  [kernel.vmlinux]           [k] _raw_spin_lock_irqsave
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073908
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073bd6
     0.02%  my_executable  [kernel.vmlinux]           [k] generic_permission
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000738f5
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073916
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000730b8
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000732f9
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073d8f
     0.02%  my_executable  [kernel.vmlinux]           [k] update_cfs_group
     0.02%  my_executable  libm.so.6                  [.] 0x000000000007338f
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000730ee
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073285
     0.02%  my_executable  libm.so.6                  [.] 0x000000000007391f
     0.02%  my_executable  [kernel.vmlinux]           [k] __mod_memcg_state
     0.02%  my_executable  [kernel.vmlinux]           [k] __alloc_pages
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073327
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073f74
     0.01%  my_executable  [kernel.vmlinux]           [k] down_read_trylock
     0.01%  my_executable  [kernel.vmlinux]           [k] strcmp
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c50
     0.01%  my_executable  [kernel.vmlinux]           [k] vsnprintf
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073ba8
     0.01%  my_executable  [kernel.vmlinux]           [k] __update_load_avg_se
     0.01%  my_executable  [kernel.vmlinux]           [k] __lruvec_stat_mod_folio
