# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cycles:P'
# Event count (approx.): 19700811021
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
    69.78%  my_executable  libstencil.so           [.] solve_jacobi._omp_fn.0
     8.88%  my_executable  libgomp.so.1.0.0        [.] gomp_team_barrier_wait_end
     7.14%  my_executable  libgomp.so.1.0.0        [.] gomp_barrier_wait_end
     6.65%  my_executable  libstencil.so           [.] mesh_copy_core._omp_fn.0
     0.97%  my_executable  libstencil.so           [.] setup_mesh_cell_values._omp_fn.0
     0.62%  my_executable  libstencil.so           [.] mesh_set_cell_kind
     0.45%  my_executable  libstencil.so           [.] setup_mesh_cell_kinds._omp_fn.0
     0.37%  my_executable  libstencil.so           [.] compute_core_pressure
     0.21%  my_executable  [kernel.vmlinux]        [k] clear_page_erms
     0.15%  my_executable  [kernel.vmlinux]        [k] native_queued_spin_lock_slowpath
     0.10%  my_executable  [kernel.vmlinux]        [k] native_irq_return_iret
     0.08%  my_executable  libc.so.6               [.] 0x0000000000097fcf
     0.07%  my_executable  [kernel.vmlinux]        [k] __irqentry_text_end
     0.07%  my_executable  libm.so.6               [.] 0x0000000000073bee
     0.07%  my_executable  libm.so.6               [.] 0x0000000000073a09
     0.07%  my_executable  libm.so.6               [.] 0x0000000000073a50
     0.06%  my_executable  libm.so.6               [.] 0x0000000000073cc5
     0.06%  my_executable  [kernel.vmlinux]        [k] error_entry
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073939
     0.05%  my_executable  [kernel.vmlinux]        [k] memset_orig
     0.05%  my_executable  [kernel.vmlinux]        [k] __handle_mm_fault
     0.05%  my_executable  [kernel.vmlinux]        [k] pci_conf1_read
     0.05%  my_executable  [kernel.vmlinux]        [k] __rcu_read_lock
     0.05%  my_executable  libm.so.6               [.] 0x0000000000073a5d
     0.05%  my_executable  [igb]                   [k] 0x0000000000001d9b
     0.04%  my_executable  libm.so.6               [.] 0x000000000007391f
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073c23
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073916
     0.04%  my_executable  libm.so.6               [.] 0x000000000007312f
     0.04%  my_executable  [kernel.vmlinux]        [k] __rmqueue_pcplist
     0.04%  my_executable  libc.so.6               [.] 0x000000000009af42
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073277
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073b8f
     0.04%  my_executable  libstencil.so           [.] cos@plt
     0.04%  my_executable  libm.so.6               [.] 0x0000000000073dec
     0.04%  my_executable  libstencil.so           [.] mesh_set_cell_kind@plt
     0.03%  my_executable  [kernel.vmlinux]        [k] llist_add_batch
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073bbd
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073908
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073122
     0.03%  my_executable  [kernel.vmlinux]        [k] down_read_trylock
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073bcd
     0.03%  my_executable  libm.so.6               [.] 0x00000000000730ba
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073bac
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073218
     0.03%  my_executable  libm.so.6               [.] 0x000000000007390a
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073da3
     0.03%  my_executable  [kernel.vmlinux]        [k] __rcu_read_unlock
     0.03%  my_executable  [kernel.vmlinux]        [k] flush_tlb_func
     0.03%  my_executable  [kernel.vmlinux]        [k] smp_call_function_many_cond
     0.03%  my_executable  libm.so.6               [.] 0x00000000000730b8
     0.03%  my_executable  [kernel.vmlinux]        [k] entry_SYSCALL_64
     0.03%  my_executable  libm.so.6               [.] 0x0000000000073c83
     0.03%  my_executable  [kernel.vmlinux]        [k] mas_walk
     0.03%  my_executable  [kernel.vmlinux]        [k] do_user_addr_fault
     0.03%  my_executable  [kernel.vmlinux]        [k] up_read
     0.03%  my_executable  [kernel.vmlinux]        [k] __d_lookup
     0.03%  my_executable  [kernel.vmlinux]        [k] change_protection
     0.02%  my_executable  libm.so.6               [.] 0x00000000000732bb
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073db4
     0.02%  my_executable  libm.so.6               [.] 0x00000000000730a6
     0.02%  my_executable  [kernel.vmlinux]        [k] perf_adjust_freq_unthr_context
     0.02%  my_executable  libhwloc.so.15.7.0      [.] 0x0000000000037537
     0.02%  my_executable  libm.so.6               [.] 0x000000000007325e
