# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 11907981544
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
    60.48%  my_executable  libstencil.so               [.] solve_jacobi._omp_fn.0
    17.49%  my_executable  libgomp.so.1.0.0            [.] gomp_team_barrier_wait_end
     8.46%  my_executable  libstencil.so               [.] mesh_copy_core._omp_fn.0
     3.17%  my_executable  libgomp.so.1.0.0            [.] gomp_barrier_wait_end
     1.45%  my_executable  libstencil.so               [.] setup_mesh_cell_values._omp_fn.0
     0.91%  my_executable  libstencil.so               [.] mesh_set_cell_kind
     0.83%  my_executable  libstencil.so               [.] setup_mesh_cell_kinds._omp_fn.0
     0.28%  my_executable  [kernel.vmlinux]            [k] clear_page_erms
     0.11%  my_executable  libm.so.6                   [.] 0x0000000000073b8f
     0.11%  my_executable  [kernel.vmlinux]            [k] perf_adjust_freq_unthr_context
     0.10%  my_executable  libm.so.6                   [.] 0x0000000000073a50
     0.09%  my_executable  libm.so.6                   [.] 0x0000000000073a09
     0.09%  my_executable  [kernel.vmlinux]            [k] memset_orig
     0.09%  my_executable  libc.so.6                   [.] 0x000000000009af42
     0.09%  my_executable  libm.so.6                   [.] 0x0000000000073939
     0.09%  my_executable  libm.so.6                   [.] 0x000000000007391f
     0.08%  my_executable  libm.so.6                   [.] 0x0000000000073a5d
     0.08%  my_executable  libm.so.6                   [.] 0x0000000000073bac
     0.08%  my_executable  [kernel.vmlinux]            [k] __rcu_read_lock
     0.08%  my_executable  [igb]                       [k] 0x0000000000001d9b
     0.07%  my_executable  libstencil.so               [.] cos@plt
     0.07%  my_executable  libm.so.6                   [.] 0x000000000007312f
     0.07%  my_executable  libm.so.6                   [.] 0x0000000000073dec
     0.07%  my_executable  libm.so.6                   [.] 0x0000000000073bd6
     0.07%  my_executable  libm.so.6                   [.] 0x0000000000073cc5
     0.07%  my_executable  libm.so.6                   [.] 0x00000000000730cf
     0.07%  my_executable  [kernel.vmlinux]            [k] update_load_avg
     0.06%  my_executable  libm.so.6                   [.] 0x000000000007390a
     0.06%  my_executable  [kernel.vmlinux]            [k] pci_conf1_read
